hash,params,onchip_used_bytes,offchip_streamed_bytes,total_ops,mapped,latency_ms_median,latency_ms_min,latency_ms_p95,latency_ms_mean,n_timed,status
b436a6e7730396404984f0775bdbdbc9,1415050,1468006,0,95,TRUE,1.0040,0.9643,1.1613,1.0214,100,timed
bd9fee5fb5cc050e8789cabe7f06ea7e,1327754,1394606,0,86,TRUE,0.9779,0.9481,1.0623,0.9983,100,timed
95717613c5c79692756a23a8a02ffdb6,6510218,6574571,0,104,TRUE,1.5566,1.5038,1.6682,1.5657,100,timed
2626b5c0d77a00273062ab96adf47b64,3303306,3355443,0,86,TRUE,1.2364,1.1872,1.3899,1.2541,100,timed
9f1b49c2d168104d28574ec7edb58dc3,3643999,4550819,0,92,TRUE,1.2406,1.2050,1.4056,1.2634,100,timed
6b192a4af83fb8eef7b3f3e7d576a87c,1941898,2002780,0,86,TRUE,0.8667,0.8242,1.0220,0.8867,100,timed
f79061c4679484779255ec78c54f0cab,6510218,6574571,0,104,TRUE,1.6015,1.5473,1.7309,1.6214,100,timed
b31a306fb738bf434a7a637c9ffe68ba,1591178,1646264,0,59,TRUE,0.8003,0.7617,0.8873,0.8139,100,timed
628526cec91609b8097d3013ceb767c7,8135050,8032092,166400,95,TRUE,1.8629,1.8119,2.0658,1.8837,100,timed
d0a5ff67e269a1ac4f305c618a88ac85,11231626,7906263,3386900,32,TRUE,8.2958,8.1893,8.4841,8.3167,100,timed
6d9c587c4e9c1de570921cee9285779c,5807242,5861539,0,95,TRUE,1.5328,1.4913,1.6290,1.5483,100,timed
174c06f72389faa51a6b8153b87fd380,12989834,7790919,5284823,86,TRUE,12.7739,12.6402,12.9268,12.8019,100,timed
ebae67dbca44bd8e9edbf269ddadd76a,14032778,7906263,6218055,104,TRUE,14.8877,14.7884,15.0400,14.9042,100,timed
816a12cbf5056eebe04e7a39cdf21d0b,5367690,5421137,0,86,TRUE,1.5150,1.4726,1.7157,1.5529,100,timed
78025c0e31473a8b3b25aae04c3d43b0,4896138,4980736,0,77,TRUE,1.4174,1.3777,1.6565,1.4461,100,timed
3f8f4dab056c62a53293c2db104f73e8,1830436,3156213,0,110,TRUE,1.1994,1.1598,1.2978,1.2133,100,timed
